id,name,country,region,lat,lon,livabilityScore,livabilityRank,pm25AnnualMean,pm25Rolling90Day,observationCoverage,whoBand,trendPercent3Mo,effectiveRank,rankDelta,periodStart,periodEnd
nyc,New York,United States,North America,40.7128,-74.006,82,12,14.18,11.92,1.0,moderate,-24.2,12,0,2025-06-06,2026-06-06
la,Los Angeles,United States,North America,34.0522,-118.2437,76,28,22.88,20.6,1.0,elevated,-22.4,32,4,2025-06-06,2026-06-06
chicago,Chicago,United States,North America,41.8781,-87.6298,78,22,11.05,9.5,1.0,moderate,-20.3,22,0,2025-06-06,2026-06-06
toronto,Toronto,Canada,North America,43.6532,-79.3832,84,9,11.07,11.75,1.0,moderate,5.0,9,0,2025-06-06,2026-06-06
vancouver,Vancouver,Canada,North America,49.2827,-123.1207,86,6,13.11,13.2,1.0,moderate,20.7,6,0,2025-06-06,2026-06-06
london,London,United Kingdom,Europe,51.5074,-0.1278,83,11,7.96,9.29,1.0,moderate,-26.0,11,0,2025-06-06,2026-06-06
paris,Paris,France,Europe,48.8566,2.3522,85,8,9.8,10.49,1.0,moderate,-33.3,8,0,2025-06-06,2026-06-06
berlin,Berlin,Germany,Europe,52.52,13.405,81,15,9.5,8.4,1.0,moderate,-51.0,15,0,2025-06-06,2026-06-06
amsterdam,Amsterdam,Netherlands,Europe,52.3676,4.9041,87,4,10.12,10.17,1.0,moderate,-38.9,4,0,2025-06-06,2026-06-06
stockholm,Stockholm,Sweden,Europe,59.3293,18.0686,88,3,4.73,4.5,1.0,excellent,-32.7,1,-2,2025-06-06,2026-06-06
copenhagen,Copenhagen,Denmark,Europe,55.6761,12.5683,89,2,6.93,7.37,1.0,moderate,-34.6,2,0,2025-06-06,2026-06-06
zurich,Zürich,Switzerland,Europe,47.3769,8.5417,91,1,10.45,9.52,1.0,moderate,-43.1,1,0,2025-06-06,2026-06-06
tokyo,Tokyo,Japan,Asia-Pacific,35.6762,139.6503,86,5,26.46,22.72,1.0,elevated,-35.3,9,4,2025-06-06,2026-06-06
seoul,Seoul,South Korea,Asia-Pacific,37.5665,126.978,80,18,29.29,35.7,1.0,elevated,-21.1,22,4,2025-06-06,2026-06-06
singapore,Singapore,Singapore,Asia-Pacific,1.3521,103.8198,84,10,17.57,17.42,1.0,elevated,-7.1,14,4,2025-06-06,2026-06-06
sydney,Sydney,Australia,Asia-Pacific,-33.8688,151.2093,85,7,9.71,9.96,1.0,moderate,-6.8,7,0,2025-06-06,2026-06-06
mumbai,Mumbai,India,Asia-Pacific,19.076,72.8777,58,38,35.51,26.43,1.0,high,-56.9,46,8,2025-06-06,2026-06-06
beijing,Beijing,China,Asia-Pacific,39.9042,116.4074,65,32,85.18,62.14,1.0,high,-50.9,40,8,2025-06-06,2026-06-06
delhi,Delhi,India,Asia-Pacific,28.6139,77.209,52,42,82.46,83.56,1.0,high,-8.8,50,8,2025-06-06,2026-06-06
dubai,Dubai,United Arab Emirates,Middle East,25.2048,55.2708,74,30,44.44,42.9,1.0,high,16.8,38,8,2025-06-06,2026-06-06
saopaulo,São Paulo,Brazil,South America,-23.5505,-46.6333,68,35,20.14,21.83,1.0,elevated,3.8,39,4,2025-06-06,2026-06-06
mexicocity,Mexico City,Mexico,North America,19.4326,-99.1332,66,33,28.2,25.67,1.0,elevated,-22.3,37,4,2025-06-06,2026-06-06
cairo,Cairo,Egypt,Middle East,30.0444,31.2357,55,40,24.03,22.0,1.0,elevated,-38.6,44,4,2025-06-06,2026-06-06
johannesburg,Johannesburg,South Africa,Africa,-26.2041,28.0473,62,36,33.56,34.69,1.0,elevated,61.7,40,4,2025-06-06,2026-06-06
